Model,Year,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification,Years_Relative
5 Series,2024,Blue,Electric,Manual,3.7,157789,86855,648,Low,0
X6,2022,White,Electric,Manual,1.9,182027,35951,3389,Low,2
X5,2024,Blue,Hybrid,Automatic,2.6,120597,95900,8581,High,0
M3,2022,Blue,Diesel,Manual,1.8,189688,38811,7337,High,2
X3,2022,Black,Diesel,Manual,4.0,160878,53997,2162,Low,2
M5,2023,Red,Electric,Manual,3.0,130509,94884,9645,High,1
X1,2024,Grey,Hybrid,Automatic,3.8,198285,102818,3880,Low,0
3 Series,2023,Grey,Diesel,Manual,2.4,58991,84635,3507,Low,1
X3,2023,Blue,Petrol,Automatic,2.9,87564,103988,5141,Low,1
X1,2023,White,Hybrid,Automatic,3.4,84606,89868,3445,Low,1
X5,2023,Silver,Electric,Automatic,1.9,34635,87087,3372,Low,1
X1,2023,Silver,Petrol,Manual,3.3,66862,80705,7058,High,1
7 Series,2023,Blue,Diesel,Automatic,2.3,52061,96938,1714,Low,1
i3,2024,Red,Petrol,Manual,1.9,42153,62609,897,Low,0
X6,2023,Red,Diesel,Manual,4.7,32173,54649,6736,Low,1
7 Series,2022,Black,Electric,Manual,3.4,157901,51785,7315,High,2
3 Series,2022,Blue,Electric,Automatic,2.3,34532,90267,6372,Low,2
7 Series,2024,Red,Hybrid,Automatic,3.4,83608,113671,5644,Low,0
3 Series,2023,Red,Diesel,Manual,3.1,39466,101930,4570,Low,1
i8,2022,White,Diesel,Manual,2.9,174399,61129,1923,Low,2
X5,2022,Silver,Diesel,Manual,2.0,66794,51179,3335,Low,2
7 Series,2022,Red,Diesel,Automatic,4.6,157516,54273,7965,High,2
3 Series,2023,White,Petrol,Manual,4.8,35496,57092,6245,Low,1
X6,2022,Grey,Petrol,Automatic,3.5,193767,116538,8197,High,2
X3,2024,Silver,Petrol,Manual,4.8,29173,60289,7710,High,0
X1,2022,Grey,Petrol,Automatic,1.8,158495,53776,450,Low,2
X5,2024,Silver,Hybrid,Automatic,3.7,58429,78458,2300,Low,0
M5,2023,Grey,Diesel,Manual,1.6,199654,98512,3277,Low,1
5 Series,2024,Black,Electric,Automatic,2.9,106278,59710,7494,High,0
X5,2024,Red,Hybrid,Automatic,2.5,163839,100168,3599,Low,0
3 Series,2023,Silver,Hybrid,Automatic,4.8,44501,40840,4609,Low,1
M3,2023,Black,Electric,Automatic,2.4,196238,109772,1993,Low,1
5 Series,2024,Grey,Electric,Automatic,4.7,124858,114997,7692,High,0
M3,2022,Red,Hybrid,Manual,4.6,156811,88747,775,Low,2
X5,2023,Red,Electric,Manual,3.5,115949,31097,4379,Low,1
M5,2024,Silver,Electric,Automatic,3.0,149252,76673,9265,High,0
M5,2024,Silver,Petrol,Manual,3.2,105447,43118,3087,Low,0
i3,2022,Grey,Hybrid,Automatic,1.7,61486,110653,9176,High,2
M5,2024,Blue,Petrol,Automatic,2.4,139076,88696,1424,Low,0
M5,2022,Blue,Petrol,Manual,2.2,106054,47495,1975,Low,2
i3,2024,Red,Electric,Manual,4.4,104720,118841,3863,Low,0
X6,2023,Black,Electric,Automatic,2.6,80215,76115,9306,High,1
5 Series,2024,Black,Petrol,Automatic,2.5,138492,54502,894,Low,0
3 Series,2022,Silver,Diesel,Automatic,2.2,5898,35750,9081,High,2
X3,2023,Grey,Petrol,Automatic,2.4,128514,109092,6547,Low,1
X1,2022,Grey,Hybrid,Automatic,1.8,96592,112298,1551,Low,2
